"Invoice No","Invoice Type","Payment Terms","Incoterms Code","Invoice Creation Date","MasterBill","HouseBill","HouseBill Origin","HouseBill Destination","CW1 Shipment Number","Movement Type","Product Name","Shipment Creation Date","Transportation Mode","Commodity","Origin","Origin Port Country/Region Code","Port/ Terminal of Loading","Port/ Terminal of Loading Code","Destination","Destination Port Country/Region Code","Port of Discharge","Port of Discharge Code","Bill To - Account","Bill To - Name","Bill To - Parent","Bill To - Division","Bill To - Sub Division","Bill To - Address","Bill To - ZIP Code","Bill To - City","Bill To - Country/Region Code","Shipper - Account","Shipper Name","Shipper - Parent","Shipper - Division","Shipper - Sub Division","Shipper Address","Shipper - ZIP Code","Shipper City","Shipper - Country/Region Code","Shipper Reference","Consignee - Account","Consignee Name","Consignee - Parent","Consignee - Division","Consignee - Sub Division","Consignee Address","Consignee - ZIP Code","Consignee City","Consignee - Country/Region Code","Consignee Reference","Billing Branch","Billing Company Code","Invoice Currency","Pickup Charges","Origin Handling Charges","Origin Demurrage Charges","Origin Storage Charges","Origin Customs Charges","Freight Charges","Fuel Surcharge","Security Surcharge","Destination Customs Charges","Destination Storage Charges","Destination Demurrage Charges","Destination Handling Charges","Delivery Charges","Other Charges","Duties and Taxes","Total Charges without Duties and Taxes","Total Charges with Duties and Taxes","Pick-up Charges (EUR)","Origin Handling Charges (EUR)","Origin Demurrage Charges (EUR)","Origin Storage Charges (EUR)","Origin Customs Charges (EUR)","Freight Charges (EUR)","Fuel Surcharges (EUR)","Security Surcharges (EUR)","Destination Customs Charges (EUR)","Destination Storage Charges (EUR)","Destination Demurrage Charges (EUR)","Destination Handling Charges (EUR)","Delivery Charges (EUR)","Other Charges (EUR)","Duties and Taxes (EUR)","Total Charges without Duty and Tax (EUR)","Total Charges with Duty and Tax (EUR)","Pick-up Charges (USD)","Origin Handling Charges (USD)","Origin Demurrage Charges (USD)","Origin Storage Charges (USD)","Origin Customs Charges (USD)","Freight Charges (USD)","Fuel Surcharges (USD)","Security Surcharges (USD)","Destination Customs Charges (USD)","Destination Storage Charges (USD)","Destination Demurrage Charges (USD)","Destination Handling Charges (USD)","Delivery Charges (USD)","Other Charges (USD)","Duties and Taxes (USD)","Total Charges without Duty and Tax (USD)","Total Charges with Duty and Tax (USD)","Exchange Rate (EUR)","Exchange Rate (USD)","Shipment Weight, kg","Total Shipment Chargeable Weight, kg","Total Shipment Volume, m3","Total Shipment Chargeable Volume, m3","Total Pieces","FCL/LCL","Number of TEUs","Nb of 20ft Containers","Nb of 40ft Containers","Container Numbers","Purchase Order Number","Invoice Compliance Number","Shipment Cancelled"
"D2151088","Invoice","Collect","FCA","2025-07-07 00:00:00.0","618-45143291","G214693","CNPVG","AUSYD","S2503139736","DTA","DA9 ","2025-06-30 00:00:00.0","Air","Wireless remote machine","Shanghai Pudong International Apt","CN","Shanghai Pudong International Apt","CNPVG","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNCOT001","COMMSCOPE TELECOMMUNICATIONS CHINA CO LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","NO 68 SU HONG XI ROAD","215021","SUZHOU","CN","22105616","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU","CRF","SYD","AU0","AUD","98.31","191.27","0.00","0.00","0.00","3042.06","355.21","0.00","80.00","0.00","0.00","446.29","115.34","261.99","64.16","4590.47","4654.63","54.76","106.55","0.00","0.00","0.00","1694.55","197.87","0.00","44.56","0.00","0.00","248.60","64.25","145.94","35.74","2557.08","2592.82","59.78","116.31","0.00","0.00","0.00","1849.88","216.00","0.00","48.65","0.00","0.00","271.39","70.14","159.32","39.02","2791.47","2830.49","0.557041","0.608101","553.00","553.00","2.82",,"6",,,"0","0",,"990430079",,"N"
"D2173979","Invoice","Collect","FCA","2025-07-23 00:00:00.0","AHG0247591","SZVC14931","CNSHA","AUSYD","S2503001113","DTD",,"2025-06-23 00:00:00.0","Sea","ANTENNA","Shanghai","CN","Shanghai","CNSGH","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNCOT001","COMMSCOPE TELECOMMUNICATIONS CHINA CO LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","NO 68 SU HONG XI ROAD","215021","SUZHOU","CN","22097299; 22097300","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","539.88","0.00","0.00","0.00","0.00","2461.47","929.44","0.00","130.00","0.00","0.00","0.00","551.20","1854.39","210.87","6466.38","6677.25","300.74","0.00","0.00","0.00","0.00","1371.14","517.74","0.00","72.42","0.00","0.00","0.00","307.04","1032.97","117.46","3602.04","3719.50","348.61","0.00","0.00","0.00","0.00","1589.43","600.16","0.00","83.94","0.00","0.00","0.00","355.92","1197.43","136.16","4175.50","4311.67","0.557041","0.645725","5872.00",,"63.42","63.42","0","FCL","2","0","1","TCNU2617091",,,"N"
"D2170998","Invoice","Collect","EXW","2025-07-21 00:00:00.0","999-34617240","G275875","CNCTU","AUSYD","S2503293966","DTD","DD9 ","2025-07-08 00:00:00.0","Air","TMA","Chengdu","CN","Chengdu","CNCTU","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNTIM002","TIGER MICROWAVE TECH","Tiger Microwave Tech","Tiger Microwave Tech","Tiger Microwave Tech","NO 18 XINWEN ROAD HITECH WEST MOLLY","610213","Chengdu","CN",,"AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","224.71","574.26","0.00","0.00","68.76","9612.56","973.74","0.00","80.00","0.00","0.00","1223.42","249.68","0.00","155.31","13007.13","13162.44","125.17","319.89","0.00","0.00","38.30","5354.59","542.41","0.00","44.56","0.00","0.00","681.50","139.08","0.00","86.51","7245.50","7332.02","136.87","349.79","0.00","0.00","41.88","5855.08","593.11","0.00","48.73","0.00","0.00","745.19","152.08","0.00","94.60","7922.73","8017.33","0.557041","0.609107","1520.00","1520.00","7.51",,"4",,,"0","0",,"990451015",,"N"
"D2164454","Invoice","Collect","FCA","2025-07-16 00:00:00.0","MUC030725MUCC01; 607-39180875; 081-57984161","G235633","DEMUC","AUSYD","S2503190718","DTA","DA6 ","2025-07-02 00:00:00.0","Air","Power Supply Unit DC IN 48V 850W","Munchen","DE","Munchen","DEMUC","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","DE DEANW001","ANDREW WIRELESS SYSTEMS GMBH","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","INDUSTRIERING 10","86675","BUCHDORF","DE","22108417","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0.00","8.00","80.00","88.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.56","0.00","0.00","0.00","0.00","0.00","4.46","44.56","49.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.26","0.00","0.00","0.00","0.00","0.00","5.23","52.26","57.49","0.557041","0.653296","115.00","115.00","0.51",,"19",,,"0","0",,"990431934",,"N"
"D2159508","Invoice","Prepaid","DAP","2025-07-14 00:00:00.0","255655431","DZI395970","AUSYD","NZAKL","S2503229764","DTD",,"2025-07-04 00:00:00.0","Sea","telecommunication cable","Sydney","AU","Sydney","AUSYD","Auckland","NZ","Tauranga","NZTRG","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","22101805 / SO# 6021759","NZ NZAVW001","AVW LIMITED","Avw Broadcast","Avw Broadcast","Avw Broadcast","7A RA ORA DRIVE, EAST TAMAKI","2013","AUCKLAND","NZ",,"SYD","AU0","AUD","557.40","695.56","0.00","0.00","0.00","685.84","0.00","0.00","0.00","0.00","0.00","1001.69","387.81","0.00","0.00","3328.30","3328.30","310.49","387.46","0.00","0.00","0.00","382.04","0.00","0.00","0.00","0.00","0.00","557.98","216.03","0.00","0.00","1854.00","1854.00","348.26","434.58","0.00","0.00","0.00","428.51","0.00","0.00","0.00","0.00","0.00","625.85","242.30","0.00","0.00","2079.51","2079.51","0.557041","0.624795","693.00",,"7.79","7.79","0","LCL",,"0","1","MRKU3433353","P11895",,"N"
"D2155339","Invoice","Collect","EXW","2025-07-09 00:00:00.0","999-34320521","G205231","CNCTU","AUSYD","S2503117111","DTD","DD9 ","2025-06-27 00:00:00.0","Air","DPX TMA","Chengdu","CN","Chengdu","CNCTU","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNTIM002","TIGER MICROWAVE TECH","Tiger Microwave Tech","Tiger Microwave Tech","Tiger Microwave Tech","NO 18 XINWEN ROAD HITECH WEST MOLLY","610213","Chengdu","CN",,"AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0.00","8.00","80.00","88.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.56","0.00","0.00","0.00","0.00","0.00","4.46","44.56","49.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.26","0.00","0.00","0.00","0.00","0.00","5.23","52.26","57.49","0.557041","0.653296","765.00","765.00","3.76",,"2",,,"0","0",,"8004521990",,"N"
"D2155338","Invoice","Collect","EXW","2025-07-09 00:00:00.0","999-34320521","G205231","CNCTU","AUSYD","S2503117111","DTD","DD9 ","2025-06-27 00:00:00.0","Air","DPX TMA","Chengdu","CN","Chengdu","CNCTU","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNTIM002","TIGER MICROWAVE TECH","Tiger Microwave Tech","Tiger Microwave Tech","Tiger Microwave Tech","NO 18 XINWEN ROAD HITECH WEST MOLLY","610213","Chengdu","CN",,"AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","143.71","289.34","0.00","0.00","68.79","4843.22","490.61","0.00","0.00","0.00","0.00","616.41","125.80","0.00","74.22","6577.88","6652.10","80.05","161.17","0.00","0.00","38.32","2697.87","273.29","0.00","0.00","0.00","0.00","343.37","70.08","0.00","41.34","3664.15","3705.49","87.39","175.95","0.00","0.00","41.83","2945.25","298.35","0.00","0.00","0.00","0.00","374.85","76.50","0.00","45.13","4000.13","4045.26","0.557041","0.608118","765.00","765.00","3.76",,"2",,,"0","0",,"8004521990",,"N"
"D2145424","Invoice","Collect","FCA","2025-07-01 00:00:00.0","160-93376301","G179923","CNPVG","AUSYD","S2503055197","DTA","DA9 ","2025-06-25 00:00:00.0","Air","Wireless remote machine","Shanghai Pudong International Apt","CN","Shanghai Pudong International Apt","CNPVG","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNCOT001","COMMSCOPE TELECOMMUNICATIONS CHINA CO LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","NO 68 SU HONG XI ROAD","215021","SUZHOU","CN","22097289","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU","9010036464","SYD","AU0","AUD","99.92","97.56","0.00","0.00","0.00","1551.49","181.17","0.00","80.00","0.00","0.00","227.62","117.23","198.96","42.48","2553.95","2596.43","55.66","54.34","0.00","0.00","0.00","864.24","100.92","0.00","44.56","0.00","0.00","126.79","65.30","110.83","23.66","1422.65","1446.32","59.89","58.48","0.00","0.00","0.00","930.01","108.60","0.00","47.95","0.00","0.00","136.44","70.27","119.26","25.46","1530.91","1556.38","0.557041","0.599429","264.00","277.50","1.66",,"5",,,"0","0",,"990430074",,"N"
"D2150112","Invoice","Prepaid","DAP","2025-07-04 00:00:00.0","255651335","DZI395078","AUSYD","NZAKL","S2503077085","DTP",,"2025-06-26 00:00:00.0","Sea","Telecommunications Equipment","Sydney","AU","Sydney","AUSYD","Auckland","NZ","Tauranga","NZTRG","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","22098804; 5820776","NZ NZAVW001","AVW LIMITED","Avw Broadcast","Avw Broadcast","Avw Broadcast","7A RA ORA DRIVE, EAST TAMAKI","2013","AUCKLAND","NZ","9010036465","SYD","AU0","AUD","200.60","319.85","0.00","0.00","0.00","88.11","0.00","0.00","0.00","0.00","0.00","308.83","49.82","0.00","0.00","967.21","967.21","111.74","178.17","0.00","0.00","0.00","49.08","0.00","0.00","0.00","0.00","0.00","172.03","27.75","0.00","0.00","538.78","538.78","125.22","199.66","0.00","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0.00","192.78","31.10","0.00","0.00","603.77","603.77","0.557041","0.624236","54.00",,"0.48","0.48","0","LCL",,"0","1","TRHU7237035",,,"N"
"D2173565","Invoice","Prepaid","DAP","2025-07-23 00:00:00.0","992-00854840","G267795","USDFW","AUSYD","S2503272711","DTD","DD8 ","2025-07-07 00:00:00.0","Air","CABLE PREPARATION TOOL,COMPACT SURE","Dallas-Fort Worth Int Apt","US","Dallas-Fort Worth Int Apt","USDFW","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","US USOU0024","OUTDOOR WIRELESS NETWORKS LLC","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","261 TELECOM PARKWAY","75082","RICHARDSON","US","22098305; 22109170; 22109177","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0.00","8.00","80.00","88.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.56","0.00","0.00","0.00","0.00","0.00","4.46","44.56","49.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.26","0.00","0.00","0.00","0.00","0.00","5.23","52.26","57.49","0.557041","0.653296","26.30","63.00","0.38",,"1",,,"0","0",,"990453490",,"N"
"D2173350","Invoice","Prepaid","DAP","2025-07-23 00:00:00.0","COSU6414842970","SZVC07910","CNSHA","NZAKL","S2501687678","DTD",,"2025-04-08 00:00:00.0","Sea","CABLE","Shanghai","CN","Shanghai","CNSGH","Auckland","NZ","Auckland","NZAKL","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNCOT001","COMMSCOPE TELECOMMUNICATIONS CHINA CO LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","NO 68 SU HONG XI ROAD","215021","SUZHOU","CN","22016044; 22016050","NZ NZVON001","ONE NEW ZEALAND GROUP LIMITED","Vodafone","Vodafone","Vodafone","74 TAHAROTO ROAD, TAKAPUNA","0622","AUCKLAND","NZ",,"SYD","AU0","AUD","1083.38","203.80","0.00","0.00","0.00","2911.48","0.00","0.00","0.00","0.00","0.00","0.00","3126.01","0.00","0.00","7324.67","7324.67","603.49","113.52","0.00","0.00","0.00","1621.81","0.00","0.00","0.00","0.00","0.00","0.00","1741.32","0.00","0.00","4080.14","4080.14","707.00","133.00","0.00","0.00","0.00","1900.00","0.00","0.00","0.00","0.00","0.00","0.00","2040.00","0.00","0.00","4780.01","4780.01","0.557041","0.652590","2262.00",,"21.49","21.49","0","FCL","2","0","1","KORU9900190","9010008265",,"N"
"D2146844","Invoice","Collect","EXW","2025-07-02 00:00:00.0","205-31870381","G168449","CNSZX","AUSYD","S2503027983","DTA","DA6 ","2025-06-24 00:00:00.0","Air","Combiner","Shenzhen","CN","Guangzhou","CNCAN","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","CN CNAN4197","ANHUI TATFOOK TECHNOLOGY CO., LTD.","*GENERIC PARTNER*","*GENERIC PARTNER*","*GENERIC PARTNER*","3RD IND.AREA OF SHAJING IND.DEVELOPMENT LIMITED,, ","518104","SHENZHEN","CN","8004765157","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU",,"SYD","AU0","AUD","289.69","0.00","0.00","0.00","81.13","546.29","57.59","0.00","80.00","0.00","0.00","192.44","116.83","0.00","38.92","1363.97","1402.89","161.37","0.00","0.00","0.00","45.19","304.31","32.08","0.00","44.56","0.00","0.00","107.20","65.08","0.00","21.68","759.79","781.47","174.68","0.00","0.00","0.00","48.92","329.42","34.73","0.00","48.24","0.00","0.00","116.04","70.45","0.00","23.47","822.48","845.95","0.557041","0.603006","79.00","88.50","0.53",,"4",,,"0","0",,"8004765157",,"N"
"D2161941","Invoice","Collect","FCA","2025-07-15 00:00:00.0","MUC040725MUCC01; 618-44806646; 081-57983800","G245199","DEMUC","AUSYD","S2503214165","DTA","DA6 ","2025-07-03 00:00:00.0","Air","REPEATER FOR MOBILE COMMUNICATION","Munchen","DE","Munchen","DEMUC","Sydney","AU","Sydney","AUSYD","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","22 INDUSTRY BOULEVARD","3201","CARRUM DOWNS","AU","DE DEANW001","ANDREW WIRELESS SYSTEMS GMBH","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","INDUSTRIERING 10","86675","BUCHDORF","DE","22108856","AU AUOU0003","OUTDOOR WIRELESS NETWORKS AUSTRALIA PTY LTD","Amphenol","Outdoor Wireless Networks","Outdoor Wireless Networks","60 WALLGROVE ROAD","2770","MINCHINBURY","AU",,"SYD","AU0","AUD","95.31","27.23","0.00","0.00","0.00","737.90","176.99","0.00","0.00","0.00","0.00","188.64","114.52","0.00","30.31","1340.59","1370.90","53.09","15.17","0.00","0.00","0.00","411.04","98.59","0.00","0.00","0.00","0.00","105.08","63.79","0.00","16.88","746.76","763.65","58.28","16.65","0.00","0.00","0.00","451.22","108.23","0.00","0.00","0.00","0.00","115.35","70.03","0.00","18.53","819.76","838.30","0.557041","0.611494","111.00","166.50","1.00",,"5",,,"0","0",,"12022030",,"N"
